City,Venue,Venue Category
Çankırı,Alternatif TİM,Mobile Phone Shop
Çankırı,Karadayı Tarım,Garden Center
Çankırı,Eyüpoğlu Kebap,Turkish Restaurant
Çankırı,Doğan Oto,Auto Garage
Çankırı,Ziyafet Çiğköfte,Snack Place
Çankırı,Seyir Play Station,Arcade
Çankırı,Çivitçioğlu Medresesi,Historic Site
Çankırı,Toki Bahçeleri,Garden
Çankırı,Exit Cafe & Bistro,Café
Çankırı,Kocatepe Kahve Evi,Coffee Shop
Çankırı,KRC Et Mangal,Steakhouse
Çankırı,Hasret Çayocağı,Tea Room
Çankırı,Bayramefendi Osmanlı Kahvecisi,Coffee Shop
Çankırı,Şemsiyeli Sokak,Plaza
Çankırı,SEHA TUZ,Hobby Shop
Çankırı,Kiriker Metal Asansor,Arts & Crafts Store
Çankırı,Kahve Milano & Bistro,Café
Çankırı,Çankırı Yaren Evi,Public Art
Çankırı,Baloğlu Cafe & Bistro,Cafeteria
Çankırı,Karatekin Eczanesi,Pharmacy
Çankırı,Vizyon Cd&Dvd,Video Store
Çankırı,Teknosa,Electronics Store
Çankırı,Hasan Fehmi Gökşen Kapalı Spor Salonu,Basketball Court
Çankırı,Kahvecim,Coffee Shop
Çankırı,Aydın Fast Food,Turkish Restaurant
Çankırı,Cebeci Restaurant & Cafe,Café
Çankırı,Lavinia Waffle&Chocolate,Dessert Shop
Çankırı,Boyalıca'nın Kaş,Other Nightlife
Çankırı,Prof. Necmettin Erbakan Parkı,National Park
Çankırı,Kahveci Hacıbaba,Café
Çankırı,Gold Fitness Center,Gym
Çankırı,Karatekin Parkı,Park
Çankırı,Akasya Hali Saha,Soccer Stadium
Çankırı,Eyüpoğlu Yol Şubesi,Restaurant
Çankırı,Hoca Ahmet Yesevi Meydanı,Plaza
Çankırı,Gökmen Steak House,Restaurant
Çankırı,Çankırı Çarşı,Pedestrian Plaza
Çankırı,Kucaklama Tasi,Residential Building (Apartment / Condo)
Çankırı,Şahin Tepesi,Mountain
Çankırı,Çankırı Kredi Yurtlar Kurumu,Hostel
Çankırı,AYTEMİZ ORHAN PETROL AKARYAKIT DİNLENME TESİSİ,Recreation Center
Çankırı,İn Dağı,Mountain
Çankırı,Alpsarı Restaurant Cafe,Distillery
Çankırı,Alpsarı Göleti,Lake
Çankırı,Bugay Köyü,Farm
Çankırı,Ekocabin A.Ş.,Furniture / Home Store
Çankırı,Büyük Mahalle,Plaza
Çankırı,Hazer Piknik,Doner Restaurant
Çankırı,DEDENİN GAŞI,Forest
Çankırı,korgun Yaylası,Tree
Çankırı,Çankırı Korgun,National Park
Çankırı,Aşağı çavuş köyü,Farm
Çankırı,Bekir Ustalar Taş Dünyası,Arts & Crafts Store
Çankırı,Merzi Göleti,Lake
Çankırı,Korgun Şıhlar Köyü,Mountain
Çankırı,AK İletişim Turkcell İletişim Merkezi,Electronics Store
Çankırı,Eldivan Nazar Süpermarket,Big Box Store
Çankırı,Saray Koyu,Plaza
Çankırı,kurşunlu devrez,Nature Preserve
Çankırı,Çankırı Kurşunlu Taşkaracalar Köyü,Rest Area
Çankırı,cankiri yolunda,Moving Target
Çankırı,Demirsal,Recreation Center
Çankırı,Hacı Ali Dinlenme Tesisleri Çankırı,Diner
Çorum,Limon’s,Breakfast Spot
Çorum,Kahvelen,Coffee Shop
Çorum,Kentpark,Park
Çorum,İskilip Dolma Evi,Comfort Food Restaurant
Çorum,Pizza Wings,Pizza Place
Çorum,Ulu Camii,Mosque
Çorum,SynerGym Fitness&Wellness Club,Sports Club
Çorum,Kızılırmak Nehri,Beach
Çorum,assisTT çağrı merkezi,IT Services
Çorum,Çorum Müzesi,History Museum
Çorum,Wine Pub,Wine Bar
Çorum,Starbucks,Coffee Shop
Çorum,Kahvelen,Coffee Shop
Çorum,Hafele Kalite Noktası - Doğu Mobilya,Furniture / Home Store
Çorum,AHL Park,Shopping Mall
Çorum,Arabica Coffee House,Coffee Shop
Çorum,Ahlatcı Döviz ve Kıymetli Madenler A.Ş.,Jewelry Store
Çorum,Büyük Otel,Hotel
Çorum,Tadı Künefe,Dessert Shop
Çorum,Kebapçı Zade Tandır,Steakhouse
Çorum,Atahan Atlı Sporlar,Sports Club
Çorum,Hışıroğlu Leblebi,Convenience Store
Çorum,Cinemaximum,Multiplex
Çorum,Jaja Boss,Entertainment Service
Çorum,Bilge Suit Hotel,Hostel
Çorum,Bayramefendi Osmanlı Kahvecisi,Coffee Shop
Çorum,Köfteci Kel Adil Şube 2,Food
Çorum,Meşhur Tandır Kebap Kadir Usta,Steakhouse
Çorum,İzmir Lokantası,Turkish Restaurant
Çorum,İbrahim Çayırı Bağları,Garden
Çorum,Elit  dondurma,Buffet
Çorum,Karakuş Leblebi Store,Café
Çorum,kuaför fatih,Salon / Barbershop
Çorum,Anka Spor Center,Gym / Fitness Center
Çorum,Demlik,Café
Çorum,Elit Dondurma&Cafe,Ice Cream Shop
Çorum,Yenİ Gül Lokantası,Restaurant
Çorum,Happy Moon's Big Kitchen,Café
Çorum,KAHVELAND Akademi & Lojistik,Café
Çorum,Quqa • Coffee | Nuts,Café
Çorum,Emmi Cafe&Bistro,Café
Çorum,Lila Pasta Börek,Turkish Restaurant
Çorum,Hattuşa Uygarlığı Bölgesi,Nature Preserve
Çorum,Çakır & Sami Tandır Kebap,Middle Eastern Restaurant
Çorum,Kahveland Buhara Premium,Café
Çorum,Emek Lokantası,Restaurant
Çorum,Tarihi Ali Pasa Hamami,Hot Spring
Çorum,Mado,Ice Cream Shop
Çorum,Katipler Konağı,Comfort Food Restaurant
Çorum,Shisha,Café
Çorum,Smooqin Lounge,Café
Çorum,Gloria Jean's Coffees,Coffee Shop
Çorum,Lazoğlu Leblebisi,Snack Place
Çorum,Meşhur Adıyaman Çiğ Köftecisii,Cigkofte Place
Çorum,Çatak Tabiat Parkı,Park
Çorum,uğur mumcu caddesi,Pedestrian Plaza
Çorum,Çorum Büyük Otel Fitness Center,Gym
Çorum,Avlu,Soup Place
Çorum,Anitta Otel,Hotel
Çorum,Yeni Divan Pastaneleri,Dessert Shop
Çorum,ticaret hali saha,Soccer Stadium
Çorum,Has Mantı&Hingal Evi,Comfort Food Restaurant
Çorum,Marmaris Döner,Doner Restaurant
Çorum,CİGER-İ ÂLÂ,Restaurant
Çorum,Akademi spor club center,Gym
Çorum,Auto Volume Profesyonel Görüntü ve Ses Sistemleri,Electronics Store
Çorum,Köfteci Yusuf,Kofte Place
Çorum,Domino's Pizza,Pizza Place
Çorum,Feyzan Hotel,Hotel
Çorum,Kahve Dünyası,Coffee Shop
Çorum,Lezzet Durağı,Turkish Restaurant
Çorum,Çorum-Leblebi Dünyası,Snack Place
Çorum,Vanelli Pastanesi,Dessert Shop
Çorum,Hıdırlık Camii,Mosque
Çorum,Şehir Pastanesi,Bakery
Çorum,Pilavistan,Pilavcı
Çorum,Balım Kuruyemiş,Business Service
Çorum,Damak Leblebi,Food & Drink Shop
Çorum,Pirbaba Çamlığı,Park
Çorum,Sakura Cafe,Café
Çorum,Bizim Market Toptan,Convenience Store
Çorum,Hayvalı Leblebi,Gourmet Shop
Çorum,Gülşen Premium Store,Breakfast Spot
Çorum,Hakverdi Pastanesi,Bakery
Çorum,Bizimkiler Kebap ve Çorba Salonu,Kebab Restaurant
Çorum,Migros,Big Box Store
Çorum,Ayşeli Hingal Evi,Manti Place
Çorum,Ciğerci Bahattin,Turkish Restaurant
Çorum,FunLab Eğlence Dünyası,Theme Park Ride / Attraction
Çorum,Şehr-i Teras Kafe,Café
Çorum,Semaver Cafe,Café
Çorum,Tavuk Dünyası,Fried Chicken Joint
Çorum,Simitçi Dünyası Hastane Şube,Café
Çorum,AS MOTOR,Motorcycle Shop
Çorum,Mangal Evi,BBQ Joint
Çorum,Karaoglan Balık Restaurant Buharaevler,Seafood Restaurant
Çorum,Güneş Gross,Big Box Store
Çorum,Grand Park Hotel,Hotel
Çorum,ŞÜKRAN SOFRASI,Turkish Restaurant
Çorum,Mavi Otel,Hotel
Denizli,Başaranlar Mermer & Traverten,Factory
Denizli,Yeşil Bahçe Mahmut'un yeri,Breakfast Spot
Denizli,Sapphire Club,Nightclub
Denizli,Laodikeia,Historic Site
Denizli,Pamukkale Tenis Kulübü,Tennis Court
Denizli,Gökpınar Hobi Bahçeleri,Garden
Denizli,Garson Şükrü'nün Yeri,Turkish Restaurant
Denizli,Eskihisar Parkı,Park
Denizli,Kokoreçci Osman Ustanın Yeri,Kokoreç Restaurant
Denizli,Paris PlayStation,Arcade
Denizli,Angel’s Park Hotel,Hotel
Denizli,Aşçı Hasan Usta Lokantası,Turkish Home Cooking Restaurant
Denizli,Yılmaz Izgara Kokoreç,Diner
Denizli,Hierapolis,Historic Site
Denizli,Dörtyol Lokantası,Turkish Restaurant
Denizli,Hacı Şerif,Dessert Shop
Denizli,Toros Dondurma,Ice Cream Shop
Denizli,Denizli Mevlana Lokantası,Turkish Restaurant
Denizli,Pamukkale Antik Tiyatro,Historic Site
Denizli,Olympus Gold Sports Club,Gym / Fitness Center
Denizli,ATILGAN Mimarlık İnşaat Ltd. Şti.,Coworking Space
Denizli,Karavida Balık Restoran,Seafood Restaurant
Denizli,Tavas'lı Pideci Nihat Usta,Pide Place
Denizli,Meriday Waffle,Dessert Shop
Denizli,Gazezoğlu Pide,Pide Place
Denizli,Fabbrica,Italian Restaurant
Denizli,Bistro Passione 1517,Coffee Shop
Denizli,Özbağ Trabzon Ekmek,Bakery
Denizli,Modern Izgara Salonu,Turkish Restaurant
Denizli,Fenomen Burger House Cafe Pub,Pub
Denizli,Pasvak Aşevi,Restaurant
Denizli,Hacı Şerif,Dessert Shop
Denizli,Hacı Şerif,Dessert Shop
Denizli,Pide Sarayı,Pide Place
Denizli,"Tostçu Mazlum""Avcı tost""",Sandwich Place
Denizli,Tuğba Kuruyemiş,Food & Drink Shop
Denizli,TABEA Baklava & Çikolata & Kahve,Dessert Shop
Denizli,Kervan Restaurant,Turkish Restaurant
Denizli,Kale Tavas Sofrası,Pide Place
Denizli,Hierapolis Arkeoloji Müzesi,History Museum
Denizli,Akçeşme Kokoreç,Kokoreç Restaurant
Denizli,Bağbaşı Parkı,Park
Denizli,Bağbaşı Kent Ormanı,Forest
Denizli,Deniz Restaurant & Bar,Restaurant
Denizli,Nirvana Game Center,Arcade
Denizli,Nen's Naturel Güzellik Salonu,Salon / Barbershop
Denizli,Şiir Otel,Hotel
Denizli,Kilimli Baklavaları,Dessert Shop
Denizli,Civan Çiçekçilik,Flower Shop
Denizli,Nasya Gumus,Jewelry Store
Denizli,Bağbaşı Pazarı,Farmers Market
Denizli,Dedeoğlu Pastanesi,Dessert Shop
Denizli,Down Cafe,Café
Denizli,Bereket Lokantası Avni Ustanın Yeri,Diner
Denizli,Pamukkale Travertenleri,Hot Spring
Denizli,Lezzet Durağı,Café
Denizli,Delikliçınar Pide,Turkish Restaurant
Denizli,Natural Park Havuz,Pool
Denizli,Denizlispor Balıkçı Kardeşler,Fish Market
Denizli,Sosyete Tostçusu,Sandwich Place
Denizli,Therapy Cafe House,Café
Denizli,Grand İtimat Otel,Hotel
Denizli,Strong Gym XL,Gym / Fitness Center
Denizli,SumerPark Piknik Alani,Park
Denizli,Şahin Motor,Motorcycle Shop
Denizli,Tavukçu Ahmet,Snack Place
Denizli,Dönerci Yaşar,Doner Restaurant
Denizli,Performans Spor - Çamlık Şubesi,Gym / Fitness Center
Denizli,Bağbaşı Zirve,Mountain
Denizli,Demasus Otel,Hotel
Denizli,ZaZa Ocakbaşı,Kebab Restaurant
Denizli,Oyunbozan RedKit,Café
Denizli,Olympus International,Gym / Fitness Center
Denizli,Altın Kebap,Kebab Restaurant
Denizli,Mesken Ocakbaşı Restaurant,Restaurant
Denizli,Bordo Şarap ve İçki Mağazası,Liquor Store
Denizli,Bellamaritimo Hotel,Hotel
Denizli,D&R,Bookstore
Denizli,Hal-Tur Hotel,Hotel
Denizli,Güzel Sanatları Sevenler Derneği Lokali,Pub
Denizli,💻 Lenger Bilişim,Electronics Store
Denizli,Köfteci Kadir Usta,Kofte Place
Denizli,Pauzza Pizza & Pollo,Pizza Place
Denizli,ÖZHANLAR,Electronics Store
Denizli,Gladio Sport Club & Coffee Bar,Gym / Fitness Center
Denizli,Çengi Sahne Sanatları Ve Dans Merkezi,Dance Studio
Denizli,Cezayir Usta,Doner Restaurant
Denizli,Çamlık Mavi Tenis Kulübü,Tennis Court
Denizli,Recep Yazıcıoğlu Parkı,Park
Denizli,Efes İzmir Kumru,Fast Food Restaurant
Denizli,1980 SARE,Chocolate Shop
Denizli,Meral Kuaför & Güzellik Salonu,Cosmetics Shop
Denizli,Denizli Devlet Tiyatrosu,Theater
Denizli,Selektör Cafe & Lounge,Café
Denizli,Karaca Pastacılık,Bakery
Denizli,Vista Royal Hotel,Hotel
Denizli,Kral Pilavcım,Pilavcı
Denizli,Kökenoğlu Pide,Pide Place
Denizli,Şevket'in Yeri,Steakhouse
Denizli,ÖZ BAĞBAŞI KIRAHATHANESİ,Pool Hall
Diyarbakır,Ulu Cami,Mosque
Diyarbakır,Osmanlı Kahvecisi Bayramefendi,Coffee Shop
Diyarbakır,Uçann Süpürge Cafe,Café
Diyarbakır,Tarihi Hasan Paşa Hanı,Historic Site
Diyarbakır,Kastal Cafe,Historic Site
Diyarbakır,Sülüklü Han,Historic Site
Diyarbakır,Dies Hotel,Hotel
Diyarbakır,Morgen Coffee,Coffee Shop
Diyarbakır,Cemil Paşa Konağı,Historic Site
Diyarbakır,Diyarbakır Cahit Sıtkı Tarancı Müzesi,History Museum
Diyarbakır,Antrenörler Lokali,Sports Bar
Diyarbakır,New Garden Hotel,Hotel
Diyarbakır,Firuze Kahve Lab,Coffee Shop
Diyarbakır,Kahve Ofisi,Coffee Shop
Diyarbakır,Diyarbakır Kültür Evi,Café
Diyarbakır,Karadeniz Balıkçısı Balık Evi,Seafood Restaurant
Diyarbakır,Çift Kapı,Historic Site
Diyarbakır,Dengbejler Evi,Public Art
Diyarbakır,Egos Güzellik Dünyası,Health & Beauty Service
Diyarbakır,Saray Kapı Kahvaltı & Cafe,Breakfast Spot
Diyarbakır,Cafe Eyma,Café
Diyarbakır,Namlı Kebap Salonu,Kebab Restaurant
Diyarbakır,Fırın-ci Sur,Kebab Restaurant
Diyarbakır,Hacı Levent,Dessert Shop
Diyarbakır,Ahmet Arif Müze ve Sanat Evi,Art Museum
Diyarbakır,Eko Cafe,Café
Diyarbakır,Hevsel Bahçeleri,Garden
Diyarbakır,Müze Cafe,Café
Diyarbakır,Publobar,Bar
Diyarbakır,Petek Pastanesi,Pastry Shop
Diyarbakır,Ulu Camii Meydanı,Plaza
Diyarbakır,Künefeci Sıtkı Usta,Dessert Shop
Diyarbakır,Diyarbakır Surları,Castle
Diyarbakır,Mardin Kapı,Historic Site
Diyarbakır,Çarşıya Şeviti,Shopping Mall
Diyarbakır,Diyarbakır Devlet Tiyatrosu Orhan Asena Sahnesi,Theater
Diyarbakır,Keçi Burcu,Castle
Diyarbakır,Bukalemun Cafe,Café
Diyarbakır,Cafe Keyfim,Hookah Bar
Diyarbakır,Mitannia Regency Luxury Hotel,Hotel
Diyarbakır,Ekmek & Gül Kafe,Café
Diyarbakır,Sultan Ocakbaşı,Steakhouse
Diyarbakır,Umut Ciğercisi,Kebab Restaurant
Diyarbakır,Diyarbakır Müzesi,History Museum
Diyarbakır,Zin Cafe,Café
Diyarbakır,Park Vadi Hotel,Hotel
Diyarbakır,Ben û Sen Meyhanesi,Meyhane
Diyarbakır,Sky Fall Lounge,Café
Diyarbakır,Anzele Park,Park
Diyarbakır,Tarihi Nargileciler Kahvesi,Hookah Bar
Diyarbakır,Diyarbakır Evi,Café
Diyarbakır,Dağkapı Meydanı,Plaza
Diyarbakır,Balıkçılarbaşı,Other Great Outdoors
Diyarbakır,Gabo,Vegetarian / Vegan Restaurant
Diyarbakır,Harabe Konak,Café
Diyarbakır,Mümessiller Lokali,Gastropub
Diyarbakır,Pasaport Pizza,Pizza Place
Diyarbakır,Kervan Şarap Evi,Wine Bar
Diyarbakır,David People,Café
Diyarbakır,ciğerci hacı,Kebab Restaurant
Diyarbakır,On Gözlü Köprü,Bridge
Diyarbakır,Roj Cafe,Café
Diyarbakır,Zoom Cafe,Café
Diyarbakır,Starbucks,Coffee Shop
Diyarbakır,Ab'bas Waffle,Dessert Shop
Diyarbakır,Dağkapı,Other Great Outdoors
Diyarbakır,Wanted Lounge,Lounge
Diyarbakır,Kemikli Evi - Avni Bey Konağı,Kebab Restaurant
Diyarbakır,Onur Ocakbaşı,Kebab Restaurant
Diyarbakır,Veysel Et Mangal,Turkish Restaurant
Diyarbakır,Sadık Künefe,Dessert Shop
Diyarbakır,Liv Suit Hotel,Hotel
Diyarbakır,Anıt Cafe,Café
Diyarbakır,Ciğerci Xale Meheme,Kebab Restaurant
Diyarbakır,Check-In Cafe,Café
Diyarbakır,İleyna Ocakbaşı,Turkish Restaurant
Diyarbakır,Ares Cafe,Café
Diyarbakır,İskender Paşa Konağı,Historic Site
Diyarbakır,THY Business Class,Airport Food Court
Diyarbakır,Hilton Garden Inn,Hotel
Diyarbakır,Han Kapısı Kahvaltı ve Yemek Sarayı,Breakfast Spot
Diyarbakır,"Özgür Ekmek,Pasta ve Unlu Mamulleri",Bakery
Diyarbakır,Diyarbakır Polis Evi,Residential Building (Apartment / Condo)
Diyarbakır,Mahabad Kahvaltı & Cafe,Breakfast Spot
Diyarbakır,Acem Gölü,Botanical Garden
Diyarbakır,keko yoldaş,Turkish Restaurant
Diyarbakır,Ciğerci Ramazan Usta,Kebab Restaurant
Diyarbakır,Dayinin Yeri,Beer Garden
Diyarbakır,Merkez Kavurma,Diner
Diyarbakır,Hotel Büyük Kervansaray,Hotel
Diyarbakır,Arsev Cafe,Café
Diyarbakır,Yade Tea&Coffee,Café
Diyarbakır,Sadik Kunefe,Dessert Shop
Diyarbakır,Tarihi Esma Ocak Evi,History Museum
Diyarbakır,Meşhur Adana Kebapçısı Nâsır Usta,Kebab Restaurant
Diyarbakır,Dicle Cafe,Café
Diyarbakır,Saki Alacarte,Restaurant
Diyarbakır,Divan Diyarbakır,Hotel
Diyarbakır,Kırklar Dağı,Mountain
Diyarbakır,Gazi Köşkü,Historic Site
Edirne,Selimiye Camii,Mosque
Edirne,Eski Cami,Mosque
Edirne,Ali İlte Kıyık Et Lokantası,Turkish Restaurant
Edirne,Üç Şerefeli Camii (Üç Şerefeli Cami),Mosque
Edirne,Asrınzade Hediyelik,Gift Shop
Edirne,Dar-ül Hadis Camii,Mosque
Edirne,Mola Kahvaltı Salonu,Breakfast Spot
Edirne,Edirne Türk ve İslam Eserleri Müzesi,History Museum
Edirne,Nâzım Hikmet Kültür Merkezi (NHKM),Public Art
Edirne,Mançiz Pizza,Pizza Place
Edirne,Aydın Tava Ciğer,Turkish Restaurant
Edirne,Tahtakale Çorbacısı,Soup Place
Edirne,Taş Odalar Butik Hotel,Motel
Edirne,3K Cafe,Café
Edirne,Saraçlar Caddesi,Pedestrian Plaza
Edirne,Rumeli Meyhanesi,Restaurant
Edirne,Sultan II. Beyazıt Külliyesi Sağlık Müzesi,History Museum
Edirne,Selimiye Vakıf Müzesi,History Museum
Edirne,Fuat'ın Yeri,Pub
Edirne,Tatlı Konağı,Dessert Shop
Edirne,Migros,Supermarket
Edirne,Üç Şerefeli Camii Çay Bahçesi,Tea Room
Edirne,Selimiye Arastası,Historic Site
Edirne,isviçre saatçisi saraçlar caddesi,Gift Shop
Edirne,Ünsal'ın Yeri,Smoke Shop
Edirne,Şems Kafe,Café
Edirne,Şükrüpaşa Atletizm Sahası,Athletics & Sports
Edirne,Punto Bistro & Shot Bar,Cocktail Bar
Edirne,Dervişan Miskinler Kahvehanesi,Café
Edirne,Sports Montana,Gym / Fitness Center
Edirne,LEZZET EVİ,Fast Food Restaurant
Edirne,Sultan II. Beyazıt Külliyesi,Historic Site
Edirne,Vargo Restaurant & Bar,Restaurant
Edirne,Patio,Café
Edirne,Ailem Cafe,Hookah Bar
Edirne,Trendlife Fitness Center,Gym / Fitness Center
Edirne,Ciğerci Niyazi Usta,Turkish Restaurant
Edirne,Rys Hotel & Restaurant,Hotel
Edirne,Sonradan Gurme,Comfort Food Restaurant
Edirne,Meşhur Edirne Ciğercisi Kazım ve İlhan Usta,Turkish Restaurant
Edirne,ONDO dondurma,Ice Cream Shop
Edirne,Çalgılı Meyhane,Steakhouse
Edirne,Rys LiveLife Fitness & Spa,Gym
Edirne,Çiçek Tava Ciğer,Restaurant
Edirne,Tuna Kuaför,Salon / Barbershop
Edirne,Meriç Köprüsü,Bridge
Edirne,Tea Or Coffee,Coffee Shop
Edirne,Papas Cafe & Bar,Bar
Edirne,Balıklama,Seafood Restaurant
Edirne,Kahverengi Bistro,Bistro
Edirne,Asmalı Konak. Et-Balık-Meze,Restaurant
Edirne,Tadım Kahvaltı Salonu,Breakfast Spot
Edirne,Tostçu Şevket,Fast Food Restaurant
Edirne,Traliçem Cafe,Café
Edirne,Hanedan Restaurant,Turkish Restaurant
Edirne,Figüran Cafe & Bar,Café
Edirne,Kalevera Hotel,Hotel
Edirne,Mavi Beyaz Boncuk Kafe,Café
Edirne,Migros,Supermarket
Edirne,Hotel Edirne Palace,Hotel
Edirne,Kada Cafe & Restaurant,Café
Edirne,Ayça Kırtasiye,Bookstore
Edirne,Starbucks,Coffee Shop
Edirne,Bizz kisisel bakim salonu,Cosmetics Shop
Edirne,Öz Akgünler Edirne Ciğercisi,Comfort Food Restaurant
Edirne,Balkabağı Bakery & Coffee,Café
Edirne,Edirne Çiçek & Organizasyon,Flower Shop
Edirne,Edirne Arkeoloji ve Etnografya Müzesi,History Museum
Edirne,Edirne Kent Müzesi,History Museum
Edirne,Daphne Tattoo & Piercing Studio,Art Gallery
Edirne,Yıldırım Çorbacısı Ali Usta,Turkish Restaurant
Edirne,Kokoreççi Murat,Diner
Edirne,By Tolga Usta Mersin Tantuni Kuzu Kokoreç Izgara,Tantuni Restaurant
Edirne,Taşhangar Spor Salonu,Gym / Fitness Center
Edirne,BlackMoon Cafe&Restaurant,Café
Edirne,Dibek Kahvesi,Coffee Shop
Edirne,Margi Hotel Spa ve Spor Merkezi,Gym
Edirne,Starbucks,Coffee Shop
Edirne,Clup Sport Life,Gym / Fitness Center
Edirne,Livera Cafe Restaurant,Café
Edirne,Hilly Hotel,Hotel
Edirne,Zindanaltı Meyhanesi,Meyhane
Edirne,EnFES,Beer Garden
Edirne,Barney's Coffe & Kitchen,Theme Restaurant
Edirne,DSİ Fitness Salonu,Gym / Fitness Center
Edirne,II. Bayezid Camii,Mosque
Edirne,Gölet Koşu Parkuru,Trail
Edirne,Gönül Kahvesi,Coffee Shop
Edirne,Newlife Sporium,Gym
Edirne,Antik Mutfak,Restaurant
Edirne,Milano Kitchen,Restaurant
Edirne,Gusto Gourmet,Deli / Bodega
Edirne,Coffee Shot Stop,Coffee Shop
Edirne,Komşu Düşler Bakery&Cafe,Café
Edirne,Tarihi Edirne Tren İstasyonu,Historic Site
Edirne,Ehli Tabiat Lokantasi,Diner
Edirne,Deniz Börekçisi,Bakery
Edirne,U.S. Polo Assn.,Clothing Store
Edirne,Zevk-i Sefa Meyhanesi,Dive Bar
Edirne,Fesleğen Kır Bahçesi,Restaurant
Elazığ,Big Boss Lounge & Hookah,Lounge
Elazığ,Olympus Fitness Center,Gym / Fitness Center
Elazığ,DoubleTree by Hilton,Hotel
Elazığ,Capris Cafe,Coffee Shop
Elazığ,Yeşilçam Kahve Evi,Café
Elazığ,Osmanlı Tulumbacısı,Dessert Shop
Elazığ,Şahaneetler Ocakbaşı,Kebab Restaurant
Elazığ,Kültür Park,Park
Elazığ,Double Three Coffee Bistro Hookah,Café
Elazığ,Hilton Roof Cafe & Restaurant,Café
Elazığ,1299 Osmanlı Kahvecisi Ve Nargile,Café
Elazığ,Cem Kebap Salonu,Steakhouse
Elazığ,Tavuk Dünyası,Restaurant
Elazığ,Lokmacım Tatlı Krizi,Dessert Shop
Elazığ,Nefis Köz Döner,Steakhouse
Elazığ,Gülmez Tepesi,Mountain
Elazığ,Damak Lahmacun ve Pide Salonu,Diner
Elazığ,FatihGenç Kitapevi Cafe,Coffee Shop
Elazığ,Kazım Market-Fırın,Bakery
Elazığ,Mega23 Night Club,Nightclub
Elazığ,Öz Diyarbakır Kadayıfçı Murat Usta,Dessert Shop
Elazığ,Şirin Otel,Hotel
Elazığ,Merkez Ocakbaşı,Turkish Restaurant
Elazığ,Armada Flowers,Flower Shop
Elazığ,Cafe 1085,Café
Elazığ,Ramada Otel Restaurant,Restaurant
Elazığ,Akustikhan Cafe,Café
Elazığ,Subartu Hotel,Hotel
Elazığ,Energy Fitness,Gym / Fitness Center
Elazığ,Şehit Polis Fethi Sekin Mesire Alanı,Campground
Elazığ,Harput,Historic Site
Elazığ,Kapalı Çarşı,Market
Elazığ,Teras Cafe,Café
Elazığ,Ensar Et Lokantası,Steakhouse
Elazığ,Windyhill Hotel & Spa,Hotel
Elazığ,Ramsey,Men's Store
Elazığ,İlbey Hotel,Hotel
Elazığ,Hemdem Cafe,Café
Elazığ,Garnish Brasserie,Pub
Elazığ,Leylekli Park,Park
Elazığ,Ramada Otel,Hotel
Elazığ,Selo Usta,Restaurant
Elazığ,Namık Kemal Parkı,Park
Elazığ,Şamlılar Pastanesi,Pastry Shop
Elazığ,Fitness GOLD GYM,Gym
Elazığ,Adnan Abi Çiğköfte,Cigkofte Place
Elazığ,X-SİR Cafe & Bistro,Café
Elazığ,Müzenin Kahvesi,Café
Elazığ,Fayton Cafe & Bistro,Bar
Elazığ,Site Kahvaltı Salonu,Breakfast Spot
Elazığ,Elaziz Mutfağı,Turkish Home Cooking Restaurant
Elazığ,Pukka Bistro & Lounge,Café
Elazığ,Harput Kalesi,Historic Site
Elazığ,Ciğerci Komutan,Turkish Restaurant
Elazığ,Üstad,Café
Elazığ,Sıla Mis Unlu Mamülleri,Dessert Shop
Elazığ,White Line Boutique Hotel,Hotel
Elazığ,Simit City,Bagel Shop
Elazığ,Park Dedeman Cafe & Bar,Hotel Bar
Elazığ,Optimum Fitness Club,Gym / Fitness Center
Elazığ,Fitness Clup 23,Gym / Fitness Center
Elazığ,Uluçınar Et Lokantası,Kebab Restaurant
Elazığ,Ot Cafe,Restaurant
Elazığ,Abdullahpaşa Yürüyüş Yolu,Trail
Elazığ,Taşfırın Lahmacuncu,Steakhouse
Elazığ,Batı Kitap Kırtasiye,Bookstore
Elazığ,Elazığ Araştırma Migros,Convenience Store
Elazığ,Hisar Kasap & Izgara,Steakhouse
Elazığ,Lahmacuncu,Bakery
Elazığ,Pia Cafe,Café
Elazığ,Gürbüzler Kuruyemiş ve Şekerleme,Kuruyemişçi
Elazığ,Şefik Gül Kültür Evi,Historic Site
Elazığ,Kültür Park,Park
Elazığ,Gül Mutfağı,Turkish Home Cooking Restaurant
Elazığ,Saray Ocakbaşı,Kebab Restaurant
Elazığ,Ulu Cami,Mosque
Elazığ,Karayolları 8.Bölge Müdürlüğü Sosyal Tesisleri,Housing Development
Elazığ,Olympus Fitness Center,Gym / Fitness Center
Elazığ,Grand Aras Otel,Hotel
Elazığ,Lezzet Mutfağı,Restaurant
Elazığ,Büyük Doğu Spor Merkezi,Gym
Elazığ,Erler Mobilya,Furniture / Home Store
Elazığ,Sürsürü Meydan,Plaza
Elazığ,Patroon's Nargile Cafe,Hookah Bar
Elazığ,1983 Beyoğlu Çikolata & Kahve,Café
Elazığ,Van Kahvaltı Sarayı & Cafe-Resto,Breakfast Spot
Elazığ,Şekerci Kız Pansiyonu,Hostel
Elazığ,Etm Bilgisayar Hastanesi,Electronics Store
Elazığ,Sarahatun Camii,Mosque
